time_stamp;off-chip temperature;brightness;onboard temperature;onboard humidity;barometer temperature;barometer pressure;humans detected
2019-10-15 20:12:33.321035;25;0;28;17;28;102003;0
2019-10-15 20:12:43.398084;25;0;27;17;28;102001;0
2019-10-15 20:12:53.417369;25;0;27;17;28;102007;0
2019-10-15 20:13:03.437329;25;0;27;17;28;102010;0
2019-10-15 20:13:13.453812;25;nan;27;17;28;102007;1
2019-10-15 20:14:32.673400;25;0;27;17;28;102005;0
2019-10-15 20:14:42.748502;25;0;27;17;28;102004;1
2019-10-15 20:14:52.769172;25;0;27;17;28;102001;0
2019-10-15 20:15:02.789780;25;0;27;17;28;102006;0
2019-10-15 20:15:12.812671;25;0;27;17;28;102007;0
2019-10-15 20:15:22.835988;25;0;27;17;28;102007;1
2019-10-15 20:15:32.857301;25;0;27;17;28;102009;0
